Mobile Remediation Tasks,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Yellow columns are maintained by delivery leads. Do not enter PHI, credentials or tokens.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Task ID,Workstream,Priority,Responsible Role,Task,Implementation Notes / Dependency,Acceptance Criteria,SRS / Contract Reference,Source File / Current Evidence,Owner,Target Date,Dependency IDs,Evidence Link / Reference,Status,Reviewer Notes
MOB-001,Authentication,P0,Mobile,"Define versioned login, refresh, logout and revocation API contracts",Backend currently returns only access token; mobile refresh cannot be implemented independently.,"Approved API contract with schemas, status/error codes, expiry and rotation behavior",SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-002,Authentication,P0,Backend,Implement short-lived access JWT and rotating refresh-token issuance,Include secure token-family tracking and expiry.,Login returns access and refresh credentials using approved delivery mechanism,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-003,Authentication,P0,Backend,Implement refresh-token rotation and reuse detection,Reused refresh token must revoke the affected token family.,"Automated rotation, reuse and revocation tests pass",SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-004,Authentication,P0,Backend,Implement authenticated logout and refresh-session revocation,Logout must invalidate server-side refresh state.,Revoked session cannot refresh; audit evidence retained without token values,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-005,Authentication,P0,Mobile,Replace in-memory-only authentication context with a session service,Current UserContext loses session on restart.,Session lifecycle is centralized and testable,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-006,Authentication,P0,Mobile,Store access and refresh tokens in platform secure storage,Use expo-secure-store or approved equivalent; never plain AsyncStorage.,Tokens persist securely and are cleared on logout/session failure,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-007,Authentication,P0,Mobile,Restore and validate session during app launch,Do not use fixed timer redirect.,Valid session opens protected app; invalid session opens sign-in,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-008,Authentication,P0,Mobile,Implement expiry-aware automatic access-token refresh,Refresh before/after expiry under agreed policy.,Expired access token recovers without exposing credentials,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-009,Authentication,P0,Mobile,Deduplicate concurrent refresh attempts and retry requests once,Prevent refresh storms and infinite retry loops.,Parallel 401 test produces one refresh and bounded retries,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-010,Authentication,P0,Mobile,Clear session and protected cache when refresh fails or is revoked,Reset navigation and show generic session-expired message.,No protected data remains accessible after failure,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-23,,,Not Started,
MOB-011,Authentication,P0,Mobile,Implement explicit logout and navigation reset,Prevent back navigation into protected screens.,"Logout revokes session, clears local state and returns to sign-in",SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-012,Authorization,P0,Mobile,Require patient role for mobile access,Reject admin/doctor accounts without caching their data.,Role-bound tests pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-013,Authorization,P0,Mobile,Add authenticated route guards to all tabs and detail screens,Current layouts do not enforce protected navigation.,Deep links and back navigation cannot bypass authentication,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-014,Authorization,P0,Backend + Mobile,Use JWT-derived patient identity for patient-self routes,Do not trust caller-controlled patient IDs.,Cross-patient parameter tampering returns 403 and exposes no data,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-015,API Platform,P0,Mobile,Consolidate config/api.js and utils/api.js into one API layer,Remove duplicate configuration and inconsistent fallbacks.,One authoritative API/config module remains,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-016,API Platform,P0,Mobile,Remove hardcoded openuae host and unsafe production HTTP fallbacks,"No production host, credential or secret may be embedded.",Source/config scan passes and production requires HTTPS,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-017,API Platform,P0,Mobile + DevOps,"Define explicit development, staging and production configuration",Use Expo/EAS environment profiles; EXPO_PUBLIC values must be non-secret.,Documented builds resolve correct public endpoints,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-018,API Platform,P0,Mobile,Fail safely when required production configuration is missing,Do not silently use localhost or another environment.,Production startup displays controlled configuration error,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-019,API Platform,P0,Mobile,Create centralized authenticated HTTP client,"Centralize auth headers, serialization, timeouts, cancellation and refresh.",Screens contain no direct axios/fetch business calls,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-020,API Platform,P0,Mobile,Normalize canonical success and error envelopes,Do not expose backend stack/internal messages.,All workflows use consistent typed error handling,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-24,,,Not Started,
MOB-021,API Platform,P0,Mobile,Implement safe retry and cancellation policy,Do not automatically replay consent mutations without idempotency.,Retry/cancel tests cover GET and mutation behavior,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-022,Routes,P0,Backend + Mobile,Freeze the canonical versioned endpoint contract,"Define schemas, pagination, status codes and error codes.",Contract is approved and referenced by implementation/tests,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-023,Routes,P0,Backend,Implement canonical patient-self request listing route,Replace legacy getAllRequestsForPatient route usage.,Canonical route is JWT owner-bound and contract-tested,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-024,Routes,P0,Backend,"Implement canonical consent grant, reject and revoke routes",Normalize patient consent decisions and validation.,"All decisions are owner-bound, audited and contract-tested",SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-025,Routes,P0,Mobile,Migrate all patient request and consent calls to canonical routes,Remove legacy route references from mobile.,Route inventory scan shows no deprecated mobile calls,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-026,Routes,P1,Backend + Mobile,Implement and consume authenticated patient-self profile route,Login payload is not a complete patient profile.,All applicable SRS profile fields load from scoped API,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-027,Routes,P1,Mobile,Use real document and clinical-record routes,Current documents screen reuses the access-request endpoint.,Document list and details display authorized record data,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-028,Routes,P1,Mobile,Integrate notification list and mark-as-read routes,Show unread state without sensitive lock-screen content.,Notification workflow passes end to end,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-029,Routes,P1,Mobile,"Integrate radiographic/DICOM list, integrity and content routes","Validate authorization, MIME type, size and filename.",Authorized file workflow and integrity evidence pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-27,,,Not Started,
MOB-030,Routes,P1,Mobile,Integrate patient-visible clinical access audit history,"Display actor, purpose/request, data type and timestamp.",Patient can review immutable scoped access events,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-031,Legacy Cleanup,P0,Mobile + Product,Remove broken public sign-up flow and navigation,Current screen is nonfunctional and public registration conflicts with hardened onboarding.,No misleading self-registration UI remains unless approved workflow is implemented,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-032,Legacy Cleanup,P0,Mobile,"Remove sample data, placeholder avatars and fixture workflows",Delete or isolate data.js from production paths.,Production build contains no patient/sample fixtures,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-033,Legacy Cleanup,P0,Mobile,Remove sensitive and debug console logging,"Includes patient email, medical data, documents and requests.",Automated/static scan finds no prohibited logging,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-034,Legacy Cleanup,P0,Mobile,Replace hardcoded dashboard counts with live derived values,Current completed/pending/cancelled counts are static.,Counts reconcile to authenticated API results,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-035,Legacy Cleanup,P1,Mobile,Correct malformed text and remove dead/commented code,Includes garbled login loading text.,UI copy review and lint pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-036,Appointments,P1,Mobile,Complete upcoming appointment display,Use patient-scoped API with loading/empty/error states.,"Upcoming appointments render correct doctor, specialty, date and status",SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-037,Appointments,P1,Mobile,Complete past and cancelled appointment display,Sort chronologically and separate statuses clearly.,Past/cancelled cases match API evidence,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-038,Appointments,P1,Mobile,Group appointments by specialty and date,Use real values and stable identifiers.,Grouping and ordering tests pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-28,,,Not Started,
MOB-039,Consent,P1,Mobile,Display complete incoming request details,"Doctor, clinic, types, purpose, urgency, notes, timestamps and statuses.",Fields match API/ledger evidence,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-040,Consent,P1,Mobile,Implement consent grant confirmation and duplicate-action prevention,Refresh affected screens after decision.,One ledger decision occurs per confirmed action,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-041,Consent,P1,Mobile,Implement rejection with required reason,Validate input and show result state.,Reason persists and authenticated patient is recorded,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-042,Consent,P1,Mobile,Implement consent revocation confirmation,Explain effect and refresh access state.,Post-revocation access is denied and UI updates,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-043,Architecture,P1,Mobile,Create reusable component library for common UI states,"Buttons, inputs, cards, headers, loaders, alerts, empty/error states and dialogs.",Feature screens reuse approved components,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-044,Architecture,P1,Mobile,Remove duplicate CustomInput and CustomButton implementations,Keep one accessible implementation of each.,No duplicate component definitions remain,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-045,Architecture,P1,Mobile,Separate API/domain services from presentational components,"Define auth, appointments, consent, notifications, profile, documents and audit modules.",Components do not own transport logic,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
